mu,variance_lockin_null_channel_pair_B
0.012000000000000002,0.012000000401793488
0.013910049495386502,0.011999999939253572
0.016124123080341852,0.011999999777914428
0.018690612509771571,0.011999999841506506
0.021665612092501053,0.012000000023596531
0.025114144712877824,0.012000000057475748
0.029111582999202475,0.012000000023882207
0.033745296700663216,0.012000000059284789
0.039116562278560668,0.011999999968676641
0.045342776448678949,0.012000000019225406
0.052560022054947426,0.011999999994058697
0.060926042355243723,0.011999999992810033
0.070623688726621212,0.012000000021841784
0.081864917144505833,0.011999999996940737
0.094895420784649243,0.011999999987893289
0.11,0.011999999991236958
