mu,variance_lockin_regular_background_pair_B
0.012000000000000002,0.015250451364708555
0.013910049495386502,0.015131325244530248
0.016124123080341852,0.014993338060004496
0.018690612509771571,0.014833543136341876
0.021665612092501053,0.014648556779042839
0.025114144712877824,0.014434504182630094
0.029111582999202475,0.014186969732584277
0.033745296700663216,0.01390095176643927
0.039116562278560668,0.013570833585750617
0.045342776448678949,0.013190387327093231
0.052560022054947426,0.012752830270403396
0.060926042355243723,0.012250976522754815
0.070623688726621212,0.011677540352618886
0.081864917144505833,0.011025683153562464
0.094895420784649243,0.010289939871406927
0.11,0.0094677271608776484
