mu,variance_lockin_EP3_pair_A_r030_060,variance_lockin_EP3_pair_B_r040_080
0.012000000000000002,7906.8471838481319,7940.3730498582399
0.013910049495386502,4832.5923965024831,4853.0830231799582
0.016124123080341852,2953.6426722776587,2966.1663094493133
0.018690612509771571,1805.2497158479409,1812.9040199681415
0.021665612092501053,1103.3646667144928,1108.0428900569389
0.025114144712877824,674.38009578762308,677.23937253912209
0.029111582999202475,412.18911557307609,413.9366729484226
0.033745296700663216,251.94039849564706,253.00848570903437
0.039116562278560668,153.99754385873831,154.65034671386107
0.045342776448678949,94.135226433439811,94.534212305689636
0.052560022054947426,57.547195141565794,57.791051089974353
0.060926042355243723,35.18403154084271,35.333074033341575
0.070623688726621212,21.514831724015242,21.605925594342072
0.081864917144505833,13.159175179898233,13.214851938997487
0.094895420784649243,8.0510048959449616,8.0850357612854076
0.11,4.9276080599435295,4.9484101538140619
